stu_id,x1stdob,x1ses,x1sex,x1race,x1par1edu,x1par2edu,x1mtscor,x2mtscor,x3gpa9,x3gpaacd,x1parexp,s1eduexp,s2eduexp,s4eduexp
29344,199509,1.7112,2,2,4,7,72.2418,75.7941,4,4,8,6,6,4
29345,199400,NA,1,4,NA,NA,NA,48.0945,2.5,3,NA,NA,NA,5
29346,199504,0.7955,1,8,3,5,42.3444,53.034,3.5,3,6,4,4,5
29347,199400,NA,2,4,NA,NA,NA,46.6825,0.5,1,NA,NA,4,5
29348,199408,0.7876,1,8,5,2,56.5545,NA,2.5,2,8,NA,NA,NA
29349,199410,-0.2258,2,3,NA,NA,51.1204,NA,2,1.5,NA,2,NA,NA
29350,199509,1.4454,1,2,NA,NA,65.6465,67.9574,3,3,NA,NA,NA,5
29351,199503,0.5251,1,2,5,3,71.309,64.8686,4,4,10,NA,NA,4
29352,199502,0.2938,1,8,3,2,60.0808,63.4406,4,4,8,4,5,6
29353,199502,-0.4399,2,8,2,3,57.1593,NA,2,1.5,6,4,NA,3
29355,199501,0.0885,2,6,3,NA,59.9693,61.3636,3,3,10,5,6,NA
29356,199506,1.1596,1,5,5,5,51.4471,60.7957,3.5,3,8,NA,NA,NA
29357,199508,0.7148,2,8,5,4,38.1675,38.7887,2,2,8,5,4,5
29358,199404,-1.245,2,3,2,NA,50.5358,51.4181,2,2,6,3,4,NA
29359,199505,-0.0594,2,8,2,3,52.7441,55.5611,3.5,3,11,3,NA,NA
29360,199501,-0.3316,2,5,1,1,47.4941,52.4902,3.5,3.5,6,5,4,4
29361,199502,1.7823,2,6,5,7,66.9645,69.9732,4,3.5,10,6,6,6
29362,199501,0.1432,1,3,NA,NA,51.337,NA,1.5,1,NA,2,NA,NA
29363,199509,-0.3612,1,8,2,2,31.7337,NA,0.25,0.25,3,NA,NA,2
29364,199501,-0.3812,1,5,4,2,51.2221,51.7775,1.5,1,6,NA,4,3
29365,199407,-0.134,1,8,NA,NA,40.0153,NA,2.5,2.5,NA,5,NA,4
29366,199507,0.8796,2,8,5,3,36.9928,43.0636,3,3,8,6,6,NA
29367,199410,0.4485,1,8,3,4,47.5399,42.4884,2.5,2.5,10,4,4,4
29368,199302,-1.7157,2,8,1,NA,41.1305,32.4941,NA,1.5,2,2,2,NA
29369,199407,-0.4165,1,8,NA,NA,53.0431,47.2167,1,1,NA,2,NA,NA
29371,199400,NA,1,4,NA,NA,NA,55.8733,1.5,2,NA,NA,6,5
29372,199405,0.8315,2,5,3,5,37.5661,48.5261,3,2.5,6,5,6,5
29374,199501,0.216,2,8,3,2,41.8622,50.7093,3,3.5,6,5,5,5
29375,199503,0.4767,2,8,NA,NA,62.9281,57.3627,4,4,NA,6,5,6
29376,199505,2.0497,1,8,7,7,73.4099,72.4463,4,3.5,6,5,5,5
29377,199505,-0.3684,2,8,2,NA,60.6464,55.9665,4,4,6,5,4,5
29378,199506,1.0759,1,8,4,4,58.8948,67.001,3.5,3,8,6,4,5
29379,199500,NA,1,2,NA,NA,NA,49.6794,1.5,1.5,NA,NA,NA,5
29380,199407,-0.658,1,3,2,NA,46.7784,48.6773,3,3,11,2,2,NA
29381,199408,-0.056,2,8,2,NA,50.3412,48.3577,2.5,2.5,4,NA,3,NA
29382,199505,0.2445,1,8,4,4,53.0071,49.7978,2,2,2,4,4,3
29383,199500,NA,2,NA,NA,NA,NA,53.7063,3,3.5,NA,NA,6,NA
29384,199507,0.2838,1,5,3,2,57.7562,53.4772,3.5,3,10,6,4,4
29385,199505,-0.0289,2,8,3,NA,51.2242,48.7718,3.5,3,6,6,6,4
29386,199500,NA,2,2,NA,NA,NA,69.1297,3.5,3.5,NA,NA,4,4
29387,199409,-0.6231,2,8,2,2,39.0056,NA,NA,NA,6,NA,NA,NA
29388,199401,1.8196,1,8,4,7,55.9103,57.3151,3,2,10,NA,5,NA
29389,199503,1.3182,1,2,4,4,82.1876,78.0318,4,4,10,6,6,NA
